,Title,Company,City,Experience,working_mode,Publish,status,Category
62,Data Entry Clerk,Join Wing Consulting,"Ariyalur,Tiruvannamalai, Viluppuram, Chennai, Kanchipuram, Thiruvarur, Nagapattinam, Sivagangai, Sivaganga, Perambalur",0 to 4 Yrs,Remote99 ,5 days ago,,Fresher
63,Data Engineer,Angel and Genie,Bangalore,3 to 8 Yrs,Be an Early ApplicantRegular,1 day ago,Hot,Experienced
64,AWM-AM-Data Management Lead(Yardi)- VP,JPMorgan,Bangalore,8 to 15 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
65,Recruitment for-Manager - DATA ENGINEERING,Genpact India Pvt. Ltd.,Bangalore,4 to 6 Yrs,Be an Early ApplicantRegular,1 week ago,Premium,Experienced
66,Data Entry Executive,SYTH INFOTECH PRIVATE LIMITED,Noida,0 to 3 Yrs,Regular,2 days ago,Hot,Fresher
67,Payments Operations Global Regulatory Operations Data I ...,JPMorgan,Mumbai City,10 to 14 Yrs,Regular,1 week ago,,Fresher
68,CIB_Client Data Associate II,JPMorgan,Mumbai City,8 to 9 Yrs,Be an Early ApplicantRegular,2 weeks ago,,Experienced
69,CIB- Data Management Specialist - Operations Analyst,JPMorgan,Hyderabad,3 to 9 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
70,CIB-Data Management Lead-Vice President,JPMorgan,Hyderabad,3 to 12 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
71,Data Analyst,Gaurangi Consultants ,"Noida,Gurugram, Delhi",0 Yrs,Regular18 ,1 week ago,,Fresher
72,Data Engineer,TeamPlus Staffing Solution Pvt.ltd.,Bangalore,5 to 13 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
73,Assistant Manager - Data Visualization,Genpact India Pvt. Ltd.,Noida,4 to 13 Yrs,Be an Early ApplicantRegular,1 week ago,Premium,Experienced
74,Data Scientist,TeamPlus Staffing Solution Pvt.ltd.,Bangalore,8 to 13 Yrs,Be an Early ApplicantRegular,1 week ago,Premium,Experienced
75,Assistant Manager - Data Visualization with Insight Gen ...,Genpact India Pvt. Ltd.,Jaipur,3 to 15 Yrs,Regular,7 days ago,,Experienced
76,need-Product Owner - Big Data Engineering,JPMorgan,Bangalore,2 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
77,Data entry vacancy available,V-Tech Data Outsourcing,"Christmas Island,Denmark, Australia, Colombia, Cambodia, Bahamas, Bahrain, Cape Verde, Bangalore, Chennai, Noida, Hyderabad, Kolkata, Gurugram, Thane, Pune, Mumbai City, Delhi, Egypt",0 to 2 Yrs,Remote99 ,3 weeks ago,,Fresher
78,Company Hiring Data Entry Operators,V-Tech Data Outsourcing,"Bangalore,Chennai, Noida, Hyderabad, Kolkata, Gurugram, Navi Mumbai, Pune, Mumbai City, Delhi",0 to 2 Yrs,Remote99 ,3 weeks ago,,Fresher
79,Requirement for- Data & Platform Analysis (D&PA) Analys ...,JPMorgan,Bangalore,2 to 4 Yrs,Regular,7 days ago,,Experienced
80,"Associate,Data Mgmt",Amazon,Hyderabad,3 to 5 Yrs,Regular,7 days ago,,Experienced
81,CLDMData Warehouse Architecture,VEGA Intellisoft Private Limited,Chennai,4 to 8 Yrs,Be an Early ApplicantRegular,6 days ago,,Experienced
82,Requirement for-Senior Data Engineer,Profoundis Labs Pvt. Ltd,Hyderabad,4 to 6 Yrs,Regular,7 days ago,,Experienced
83,Software Engineering - Machine Learning Data Engineer,JPMorgan,Hyderabad,10 to 15 Yrs,Be an Early ApplicantRegular,7 days ago,,Fresher
84,Looking for-CIB-Reference Data Manager-Vice President,JPMorgan,Mumbai City,8 to 10 Yrs,Regular,1 week ago,,Fresher
85,Data Entry Specialist,Join Wing Consulting,"Bareilly,Tambaram, Chennai, Kanpur, Sultanpur, Kodaikanal, Budaun, Nagapattinam, Namakkal, Kumbakonam",1 to 6 Yrs,Remote99 ,7 days ago,,Experienced
86,Data Entry Specialist,Join Wing Consulting,"Kavali,East Godavari, Tirumala, Tadepalligudem, Dibang Valley, Amalapuram, West Siang, Prakasam, Itanagar, Other Arunachal Pradesh",1 to 6 Yrs,Remote99 ,7 days ago,,Experienced
87,Data Entry Specialist,Join Wing Consulting,"Thirunelveli,Bangalore, Tiruvannamalai, Chennai, Viluppuram, Hyderabad, Tiruchirappalli, Nizamabad, Medavakkam, Warangal",1 to 6 Yrs,Remote99 ,7 days ago,,Experienced
88,CB-Wholesale KYC Operations-Client Data Analyst,JPMorgan,Hyderabad,1 to 6 Yrs,Regular,1 week ago,,Experienced
89,REF Data Software Engineering Java,JPMorgan,Hyderabad,5 to 7 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
90,Apply CB-Wholesale KYC Operations-Client Data Analyst,JPMorgan,Hyderabad,7 to 12 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
91, Apply now -Software Engineer - AWS Data Platform Eng ...,JPMorgan,Bangalore,1 to 3 Yrs,Regular,1 week ago,,Experienced
92,"Looking for-Senior Data Engineer, WFM Data and Analytic ...",Amazon,Bangalore,3 to 5 Yrs,Regular,1 week ago,,Experienced
93,Technical Lead,Birlasoft (India) Limited,Pune,6 to 7 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
94,CIB_Operations_Reference_Data_Specialist,JPMorgan,Bangalore,4 to 9 Yrs,Regular,2 days ago,Hot,Experienced
95,Data Entry Clerk,Spark Recruit Services,"Bangalore,Chennai, Kochi, Hyderabad, Other Kerala, Chittoor, Chandigarh, Tuticorin, Mangalore, Ahmedabad",0 to 1 Yr,Be an Early ApplicantRemote77 ,1 week ago,,Fresher
96,Data Science Associate,JPMorgan,Bangalore,4 to 9 Yrs,Regular,1 day ago,Hot,Experienced
97,"Online Home based work for Data Entry Executive, apply...",Spark Recruit Services,"Bangalore,Chennai, Indore, Hyderabad, Other Kerala, Gulbarga, Bikaner, Mysore, Coimbatore, Anantpur",0 to 1 Yr,Be an Early ApplicantRemote39 ,1 day ago,Hot,Fresher
98,CIB - Data management - Data Management Analyst,JPMorgan,Bangalore,3 to 5 Yrs,Regular,1 week ago,,Experienced
99,Tech Mahindra Hiring for International Non-Voice Proces ...,Tech Mahindra Ltd.,Hyderabad,0 to 3 Yrs,Regular50 ,1 week ago,,Fresher
100,Sr Data Engineer,GlobalLogic Technologies Pvt Ltd,Noida,3 to 5 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
101,"Recruit for the post of Associate, Associate Data Manag ...",PFIZER LIMITED,Chennai,2 to 4 Yrs,Regular,7 days ago,,Experienced
102,Azure Data Architect,VEGA Intellisoft Private Limited,Chennai,10 to 12 Yrs,Be an Early ApplicantRegular,7 days ago,,Fresher
103,Business Analyst - Fleet Support,Genpact India Pvt. Ltd.,Muzaffarpur,3 to 5 Yrs,Be an Early ApplicantRegular,0 days ago,Premium,Experienced
104,Manager - Operations,Genpact India Pvt. Ltd.,Hyderabad,4 to 6 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
105,Data Entry Executive,Join Wing Consulting,"Bangalore,Khandwa, Chennai, Hyderabad, Kolkata, Pune, Mumbai City, Khargone, Coimbatore, Cuddalore",0 to 4 Yrs,Remote99 ,0 days ago,Premium,Fresher
